ticker,name,valuation_price,price_date,observations,status,reason,data_source,source_url
A,Agilent Technologies,148.525,2026-08-14,5,ok,,HF Data Library / IEX HIST,https://hfdatalibrary.com/pages/data
AAPL,Apple Inc.,305.29,2026-08-14,5,ok,,HF Data Library / IEX HIST,https://hfdatalibrary.com/pages/data
ABBV,AbbVie,249.5,2026-08-14,5,ok,,HF Data Library / IEX HIST,https://hfdatalibrary.com/pages/data
ABNB,Airbnb,184.675,2026-08-14,5,ok,,HF Data Library / IEX HIST,https://hfdatalibrary.com/pages/data
ABT,Abbott Laboratories,110.94,2026-08-14,5,ok,,HF Data Library / IEX HIST,https://hfdatalibrary.com/pages/data
ACGL,Arch Capital Group,,,,excluded,ticker_unavailable,,
ACN,Accenture,179.24,2026-08-14,5,ok,,HF Data Library / IEX HIST,https://hfdatalibrary.com/pages/data
ADBE,Adobe Inc.,264.11,2026-08-14,5,ok,,HF Data Library / IEX HIST,https://hfdatalibrary.com/pages/data
ADI,Analog Devices,385.44,2026-08-14,5,ok,,HF Data Library / IEX HIST,https://hfdatalibrary.com/pages/data
ADM,Archer Daniels Midland,80.43,2026-08-14,5,ok,,HF Data Library / IEX HIST,https://hfdatalibrary.com/pages/data
ADP,Automatic Data Processing,272.24,2026-08-14,5,ok,,HF Data Library / IEX HIST,https://hfdatalibrary.com/pages/data
ADSK,Autodesk,251.68,2026-08-14,5,ok,,HF Data Library / IEX HIST,https://hfdatalibrary.com/pages/data
AEE,Ameren,108.64,2026-08-14,5,ok,,HF Data Library / IEX HIST,https://hfdatalibrary.com/pages/data
AEP,American Electric Power,124.54,2026-08-14,5,ok,,HF Data Library / IEX HIST,https://hfdatalibrary.com/pages/data
AES,AES Corporation,14.73,2026-08-14,5,ok,,HF Data Library / IEX HIST,https://hfdatalibrary.com/pages/data
AFL,Aflac,121.28,2026-08-14,5,ok,,HF Data Library / IEX HIST,https://hfdatalibrary.com/pages/data
AIG,American International Group,76.635,2026-08-14,5,ok,,HF Data Library / IEX HIST,https://hfdatalibrary.com/pages/data
AIZ,Assurant,282.08,2026-08-14,5,ok,,HF Data Library / IEX HIST,https://hfdatalibrary.com/pages/data
AJG,Arthur J. Gallagher & Co.,253.595,2026-08-14,5,ok,,HF Data Library / IEX HIST,https://hfdatalibrary.com/pages/data
AKAM,Akamai Technologies,122.775,2026-08-14,5,ok,,HF Data Library / IEX HIST,https://hfdatalibrary.com/pages/data
ALB,Albemarle Corporation,130.45,2026-08-14,5,ok,,HF Data Library / IEX HIST,https://hfdatalibrary.com/pages/data
ALGN,Align Technology,175.845,2026-08-14,5,ok,,HF Data Library / IEX HIST,https://hfdatalibrary.com/pages/data
ALL,Allstate,261.3,2026-08-14,5,ok,,HF Data Library / IEX HIST,https://hfdatalibrary.com/pages/data
ALLE,Allegion,166.25,2026-08-14,5,ok,,HF Data Library / IEX HIST,https://hfdatalibrary.com/pages/data
AMAT,Applied Materials,525.23,2026-08-14,5,ok,,HF Data Library / IEX HIST,https://hfdatalibrary.com/pages/data
AMCR,Amcor,46.59,2026-08-14,5,ok,,HF Data Library / IEX HIST,https://hfdatalibrary.com/pages/data
AMD,Advanced Micro Devices,482.845,2026-08-14,5,ok,,HF Data Library / IEX HIST,https://hfdatalibrary.com/pages/data
AME,Ametek,256.1,2026-08-14,5,ok,,HF Data Library / IEX HIST,https://hfdatalibrary.com/pages/data
AMGN,Amgen,416.37,2026-08-14,5,ok,,HF Data Library / IEX HIST,https://hfdatalibrary.com/pages/data
AMP,Ameriprise Financial,565,2026-08-14,5,ok,,HF Data Library / IEX HIST,https://hfdatalibrary.com/pages/data
AMT,American Tower,170.47,2026-08-14,5,ok,,HF Data Library / IEX HIST,https://hfdatalibrary.com/pages/data
AMZN,Amazon,268.67,2026-08-14,5,ok,,HF Data Library / IEX HIST,https://hfdatalibrary.com/pages/data
