ticker,cik,name,sector,subsector,valuation_price,price_date,price_observations,price_status,price_reason,filing_date,period_end,revenue_ttm,operating_income_ttm,net_income_ttm,free_cash_flow_ttm,cash_and_equivalents,total_debt,stockholders_equity,shares_outstanding,market_cap,net_debt,enterprise_value,earnings_yield,free_cash_flow_yield,price_to_earnings,price_to_fcf,ev_to_operating_income,operating_margin,five_year_revenue_growth,positive_fcf_years,historical_fcf_years,net_debt_to_fcf,price_to_book,five_year_median_fcf,historical_net_income_years,five_year_median_net_income,calculation_status,calculation_warnings,snapshot_source_url,price_source_url
A,0001090872,Agilent Technologies,Health Care,Life Sciences Tools & Services,148.525,2026-08-14,5,ok,,2026-06-01,2026-05-27,6628000000.0,1417000000.0,1210000000.0,1189000000.0,1807000000.0,3051000000.0,7122000000.0,282431944.0,41948204482.6,1244000000,43192204482.6,0.0288450963497593,0.028344478975094,34.6679375889256,35.280239262069,30.4814428247001,0.213789981894991,0.0240063553731089,5,5,1.04625735912532,5.88994727360292,1297000000,5,1254000000,ok,,https://data.sec.gov/api/xbrl/companyfacts/CIK0001090872.json,https://hfdatalibrary.com/pages/data
AAPL,0000320193,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",305.29,2026-08-14,5,ok,,2026-07-31,2026-07-17,408625000000.0,130214000000.0,99280000000.0,96184000000.0,39544000000.0,82347000000.0,107520000000.0,14594180000.0,4455457212200,42803000000,4498260212200,0.0222827860916608,0.0215879079113649,44.8776915008058,46.3222283560675,34.5451350254197,0.318663811563169,0.0327137243927511,5,5,0.445011644348332,41.4384041313244,99584000000,5,96995000000,ok,,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320193.json,https://hfdatalibrary.com/pages/data
ABBV,0001551152,AbbVie,Health Care,Biotechnology,249.5,2026-08-14,5,ok,,2026-08-03,2026-07-27,61160000000.0,10968000000.0,3771000000.0,18239000000.0,6569000000.0,64503000000.0,-5935000000.0,1767117285.0,440895762607.5,57934000000,498829762607.5,0.0085530420562401,0.0413680546443286,116.917465554893,24.1732420970174,45.4804670502826,0.179332897318509,0.0213824646687204,5,5,3.1763802840068,,21990000000,5,4873000000,partial,nonpositive_stockholders_equity,https://data.sec.gov/api/xbrl/companyfacts/CIK0001551152.json,https://hfdatalibrary.com/pages/data
ABNB,0001559720,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",184.675,2026-08-14,5,ok,,2026-08-06,2026-06-30,11580000000.0,2605000000.0,2625000000.0,4286864000.0,6821000000.0,2476000000.0,7799000000.0,,,-4345000000,,,,,,,0.224956822107081,0.1955278036223,2,2,-1.01356142858742,,,5,2511000000,partial,missing_shares_outstanding;insufficient_fcf_history,https://data.sec.gov/api/xbrl/companyfacts/CIK0001559720.json,https://hfdatalibrary.com/pages/data
ABT,0000001800,Abbott Laboratories,Health Care,Health Care Equipment,110.94,2026-08-14,5,ok,,2026-04-29,2026-03-31,42344000000.0,7132000000.0,5724000000.0,6657000000.0,6803000000.0,34047000000.0,52061000000.0,1741812429.0,193236670873.26,27244000000,220480670873.26,0.0296217067605882,0.0344499828625499,33.7590270568239,29.0275906374132,30.9142836333791,0.168430001889288,0.00719404378321364,5,5,4.0925341745531,3.71173567302318,7395000000,5,6933000000,ok,,https://data.sec.gov/api/xbrl/companyfacts/CIK0000001800.json,https://hfdatalibrary.com/pages/data
ACGL,0000947484,Arch Capital Group,Financials,Property & Casualty Insurance,,,,excluded,ticker_unavailable,2026-08-04,2026-07-30,19156000000.0,,4399000000.0,6127000000.0,1109000000.0,,24030000000.0,341229126.0,,,,,,,,,,,,,,,,,,excluded,ticker_unavailable,https://data.sec.gov/api/xbrl/companyfacts/CIK0000947484.json,
ACN,0001467373,Accenture,Information Technology,IT Consulting & Other Services,179.24,2026-08-14,5,ok,,2026-06-18,2026-05-31,68482536000.0,10529641000.0,7948771000.0,10243923000.0,10165245000.0,112816000.0,31890566000.0,637016143.0,114178773471.32,-10052429000,104126344471.32,0.0696168890095549,0.0897182785255012,14.3643304696185,11.1460007529654,9.88887887738243,0.153756586934806,0.0836044243663048,5,5,-0.981306575615611,3.58033073076596,8823131000,5,6877169000,ok,,https://data.sec.gov/api/xbrl/companyfacts/CIK0001467373.json,https://hfdatalibrary.com/pages/data
ADBE,0000796343,Adobe Inc.,Information Technology,Application Software,264.11,2026-08-14,5,ok,,2026-06-15,2026-06-11,22601000000.0,8221000000.0,6869000000.0,9437000000.0,4919000000.0,3743000000.0,11518000000.0,397500000.0,104983725000,-1176000000,103807725000,0.0654291891433648,0.0898901234453245,15.2836985005095,11.1246926989509,12.6271408587763,0.363744967036857,0.108136552945493,5,5,-0.124615873688672,9.11475299531169,7396000000,5,5428000000,ok,,https://data.sec.gov/api/xbrl/companyfacts/CIK0000796343.json,https://hfdatalibrary.com/pages/data
ADI,0000006281,Analog Devices,Information Technology,Semiconductors,385.44,2026-08-14,5,ok,,2026-05-20,2026-05-02,9818656000.0,2229968000.0,483845000.0,3293589000.0,2436916000.0,7235424000.0,33742033000.0,487087040.0,187742828697.6,4798508000,192541336697.6,0.00257716901016409,0.0175430881853018,388.022669858322,57.0025065961782,86.3426455884569,0.227115401537644,0.107588668681235,5,5,1.45692373881501,5.56406392873838,3556171000,5,2267342000,ok,,https://data.sec.gov/api/xbrl/companyfacts/CIK0000006281.json,https://hfdatalibrary.com/pages/data
ADM,0000007084,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,80.43,2026-08-14,5,ok,,2026-08-04,2026-07-30,24755000000.0,,1088000000.0,4109000000.0,1060000000.0,7604000000.0,23580000000.0,481959583.0,38764009260.69,6544000000,45308009260.69,0.0280672722133344,0.10600038743069,35.6286849822518,9.43392778308348,,,-0.264429743667565,5,5,1.59260160623023,1.64393593132697,2966000000,5,2735000000,partial,missing_operating_income_ttm,https://data.sec.gov/api/xbrl/companyfacts/CIK0000007084.json,https://hfdatalibrary.com/pages/data
