rank,ticker,cik,name,sector,subsector,valuation_price,price_date,attractiveness_score,quality_score,quality_display_score,quality_label,free_cash_flow_yield,free_cash_flow_yield_score,earnings_yield,earnings_yield_score,ev_to_operating_income,ev_to_operating_income_score,operating_margin,operating_margin_score,five_year_revenue_growth,revenue_growth_score,positive_fcf_years,historical_fcf_years,fcf_consistency_score,net_debt_to_fcf,net_debt_score,selection_reasons,review_flags,snapshot_source_url,price_source_url
1,ADBE,0000796343,Adobe Inc.,Information Technology,Application Software,264.11,2026-08-14,91.63,92.20,9.2,Strong,0.0898901234453245,95.24,0.0654291891433648,90.48,12.6271408587763,95.24,0.363744967036857,92.86,0.108136552945493,80.23,5,5,100.00,-0.124615873688672,81.36,FCF yield 9.0%; earnings yield 6.5%; EV/operating income 12.6x,,https://data.sec.gov/api/xbrl/companyfacts/CIK0000796343.json,https://hfdatalibrary.com/pages/data
2,CF,0001324404,CF Industries,Materials,Fertilizers & Agricultural Chemicals,118.295,2026-08-14,85.56,80.23,8.0,Good,0.0998182152872274,100.00,0.0880321809136376,91.67,11.1795304446279,100.00,0.295951605397859,100.00,0.0202538217192971,20.90,5,5,100.00,1.91829882484611,51.41,FCF yield 10.0%; earnings yield 8.8%; EV/operating income 11.2x,,https://data.sec.gov/api/xbrl/companyfacts/CIK0001324404.json,https://hfdatalibrary.com/pages/data
3,ACN,0001467373,Accenture,Information Technology,IT Consulting & Other Services,179.24,2026-08-14,85.52,64.86,6.5,Fair,0.0897182785255012,92.86,0.0696168890095549,92.86,9.88887887738243,97.62,0.153756586934806,33.33,0.0836044243663048,66.10,5,5,100.00,-0.981306575615611,91.53,FCF yield 9.0%; earnings yield 7.0%; EV/operating income 9.9x,,https://data.sec.gov/api/xbrl/companyfacts/CIK0001467373.json,https://hfdatalibrary.com/pages/data
4,LDOS,0001336920,Leidos,Industrials,Diversified Support Services,140.835,2026-08-14,83.55,58.78,5.9,Fair,0.0771768427800376,97.87,0.0793269307753758,95.74,8.87619983047841,97.87,0.120030626067495,27.66,0.0586166743540899,50.85,5,5,100.00,0.304985337243402,74.01,FCF yield 7.7%; earnings yield 7.9%; EV/operating income 8.9x,,https://data.sec.gov/api/xbrl/companyfacts/CIK0001336920.json,https://hfdatalibrary.com/pages/data
5,CMCSA,0001166691,Comcast,Communication Services,Cable & Satellite,25.67,2026-08-14,82.88,52.57,5.3,Weak,0.367321279857632,100.00,0.426763391048287,100.00,2.2849119208457,100.00,0.181198866198544,33.33,0.01536965480863,16.95,5,5,100.00,-0.0793707911376137,78.53,FCF yield 36.7%; earnings yield 42.7%; EV/operating income 2.3x,extreme_fcf_yield_verify_inputs;extreme_earnings_yield_verify_inputs,https://data.sec.gov/api/xbrl/companyfacts/CIK0001166691.json,https://hfdatalibrary.com/pages/data
6,F,0000037996,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,13.98,2026-08-14,82.39,43.96,4.4,Weak,0.178647799083493,100.00,0.0915020631679124,92.31,8.05706345211222,100.00,0.0235845445497993,0.00,0.0825749832950811,63.84,4,5,80.00,-1.86464711569449,95.48,FCF yield 17.9%; earnings yield 9.2%; EV/operating income 8.1x,,https://data.sec.gov/api/xbrl/companyfacts/CIK0000037996.json,https://hfdatalibrary.com/pages/data
7,RMD,0000943819,ResMed,Health Care,Health Care Equipment,224.805,2026-08-14,81.89,93.43,9.3,Strong,0.0508668885832593,72.41,0.0469736941304135,75.86,16.9491919290036,82.76,0.333728490762178,93.10,0.121148904435342,84.75,5,5,100.00,-0.273011814174099,84.18,FCF yield 5.1%; earnings yield 4.7%; EV/operating income 16.9x,,https://data.sec.gov/api/xbrl/companyfacts/CIK0000943819.json,https://hfdatalibrary.com/pages/data
8,BIIB,0000875045,Biogen,Health Care,Biotechnology,208.885,2026-08-14,80.52,76.41,7.6,Good,0.0790131276003983,93.10,0.0479682027575283,79.31,9.23678604372047,100.00,0.377337924289964,100.00,-0.0258215930751692,5.65,5,5,100.00,1.38498789346247,58.19,FCF yield 7.9%; earnings yield 4.8%; EV/operating income 9.2x,,https://data.sec.gov/api/xbrl/companyfacts/CIK0000875045.json,https://hfdatalibrary.com/pages/data
9,APTV,0001521332,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,49.565,2026-08-14,79.11,67.02,6.7,Fair,0.145559190466854,92.31,0.0999869205543344,100.00,10.7665075507613,92.31,0.100081520035116,46.15,0.0690301330246661,54.24,5,5,100.00,4.60080106809079,21.47,FCF yield 14.6%; earnings yield 10.0%; EV/operating income 10.8x,,https://data.sec.gov/api/xbrl/companyfacts/CIK0001521332.json,https://hfdatalibrary.com/pages/data
10,SLB,0000087347,Schlumberger,Energy,Oil & Gas Equipment & Services,53.01,2026-08-14,79.05,69.24,6.9,Fair,0.0610490579553591,83.33,0.0535497982856398,83.33,13.0684902927754,100.00,0.191132532837251,33.33,0.117105307932752,83.62,5,5,100.00,2.070164480533,48.59,FCF yield 6.1%; earnings yield 5.4%; EV/operating income 13.1x,,https://data.sec.gov/api/xbrl/companyfacts/CIK0000087347.json,https://hfdatalibrary.com/pages/data
